Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Release,Task
Human,5,5,2,6,Auditory,TR,1,1,0.516484889,0.916278273,Range
Human,5,5,2,7,Auditory,TR,9,9,8.196990154,8.913431724,Range
Human,5,5,2,8,Auditory,TR,1,1,1.016043025,1.432335632,Range
Human,5,5,2,9,Auditory,TR,3,3,2.316259586,2.915953378,Range
Human,5,5,2,10,Auditory,TR,1,1,0.533185845,1.032916691,Range
Human,5,5,2,11,Auditory,TR,7,7,5.464304181,6.497676717,Range
Human,5,5,2,12,Auditory,TR,7,7,5.897667232,6.764018181,Range
Human,5,5,2,13,Auditory,TR,9,9,6.514524193,7.830244765,Range
Human,5,5,2,14,Auditory,TR,5,5,4.298276038,5.281379014,Range
Human,5,5,2,15,Auditory,TR,3,3,2.29918171,3.165673165,Range
Human,5,5,2,16,Auditory,TR,5,5,4.231549371,4.831101242,Range
Human,5,5,2,17,Auditory,TR,7,7,6.480960543,7.36323631,Range
Human,5,5,2,18,Auditory,TR,9,9,7.563401447,8.296794545,Range
Human,5,5,2,19,Auditory,TR,1,1,1.082315264,1.565694824,Range
Human,5,5,2,20,Auditory,TR,5,5,4.115257791,4.73132021,Range
Human,5,5,2,21,Auditory,TR,1,1,1.549663125,1.699672663,Range
Human,5,5,2,22,Auditory,TR,7,7,6.864157023,7.480490896,Range
Human,5,5,2,23,Auditory,TR,3,3,2.115787604,2.898990879,Range
Human,5,5,2,24,Auditory,TR,5,5,3.98168554,4.781574552,Range
Human,5,5,2,25,Auditory,TR,3,3,2.749026288,3.3489388,Range
Human,5,5,2,26,Auditory,TR,9,9,7.697149948,8.363542093,Range
Human,5,5,2,27,Auditory,TR,7,7,5.381186943,5.997587707,Range
Human,5,5,2,28,Auditory,TR,7,7,6.580630091,7.313998769,Range
Human,5,5,2,29,Auditory,TR,1,1,0.583100781,0.982972734,Range
Human,5,5,2,30,Auditory,TR,9,9,7.013978985,7.547131916,Range
Human,5,5,1,1,Auditory,TR,5,5,4.514992424,NaN,Point
Human,5,5,1,2,Auditory,TR,3,3,2.43241951,NaN,Point
Human,5,5,1,3,Auditory,TR,3,3,3.398570249,NaN,Point
Human,5,5,1,4,Auditory,TR,7,7,5.781193031,NaN,Point
Human,5,5,1,5,Auditory,TR,7,7,6.581062223,NaN,Point
Human,5,5,1,6,Auditory,TR,9,9,8.49673353,NaN,Point
Human,5,5,1,7,Auditory,TR,5,5,4.798185259,NaN,Point
Human,5,5,1,8,Auditory,TR,3,3,2.398758179,NaN,Point
Human,5,5,1,9,Auditory,TR,7,7,6.680926779,NaN,Point
Human,5,5,1,10,Auditory,TR,9,9,7.7973079,NaN,Point
Human,5,5,1,11,Auditory,TR,1,1,0.366462256,NaN,Point
Human,5,5,1,12,Auditory,TR,9,9,8.397009478,NaN,Point
Human,5,5,1,13,Auditory,TR,1,1,1.149417436,NaN,Point
Human,5,5,1,14,Auditory,TR,9,9,9.013699745,NaN,Point
Human,5,5,1,15,Auditory,TR,9,9,9.879688993,NaN,Point
Human,5,5,1,16,Auditory,TR,1,1,1.016241218,NaN,Point
Human,5,5,1,17,Auditory,TR,1,1,0.999361181,NaN,Point
Human,5,5,1,18,Auditory,TR,3,3,3.14879419,NaN,Point
Human,5,5,1,19,Auditory,TR,9,9,7.580502681,NaN,Point
Human,5,5,1,20,Auditory,TR,7,7,8.013029428,NaN,Point
Human,5,5,1,21,Auditory,TR,5,5,4.498266695,NaN,Point
