Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,MCI
Human,2,4,1,29,Auditory,TR,1;1.17;1.4;1.68,1.68,1.72457,0
Human,2,4,1,30,Auditory,TR,1;1.17;1.4;1.68,1.17,1.45113,0
Human,3,NaN,1,1,Auditory,Training,1;1.17;1.4;1.68,1,1.13471,1
Human,3,NaN,1,2,Auditory,Training,1;1.17;1.4;1.68,1,0.6301,1
Human,3,NaN,1,3,Auditory,Training,1;1.17;1.4;1.68,1,0.35002,1
Human,3,NaN,1,4,Auditory,Training,1;1.17;1.4;1.68,1,0.78808,1
Human,3,NaN,1,5,Auditory,Training,1;1.17;1.4;1.68,1,0.56885,1
Human,3,NaN,1,6,Auditory,Training,1;1.17;1.4;1.68,1,0.63282,1
Human,3,NaN,1,7,Auditory,Training,1;1.17;1.4;1.68,1,0.53799,1
Human,3,NaN,1,8,Auditory,Training,1;1.17;1.4;1.68,1,0.2014,1
Human,3,NaN,1,9,Auditory,Training,1;1.17;1.4;1.68,1,0.1996,1
Human,3,NaN,1,10,Auditory,Training,1;1.17;1.4;1.68,1,0.2063,1
Human,3,NaN,1,11,Auditory,Training,1;1.17;1.4;1.68,1,0.54754,1
Human,3,NaN,1,12,Auditory,Training,1;1.17;1.4;1.68,1,0.18226,1
Human,3,NaN,1,13,Auditory,Training,1;1.17;1.4;1.68,1,0.57828,1
Human,3,NaN,1,14,Auditory,Training,1;1.17;1.4;1.68,1,0.18804,1
Human,3,NaN,1,15,Auditory,Training,1;1.17;1.4;1.68,1,0.17871,1
Human,3,NaN,1,16,Auditory,Training,1;1.17;1.4;1.68,1,0.20682,1
Human,3,NaN,1,17,Auditory,Training,1;1.17;1.4;1.68,1,0.20018,1
Human,3,NaN,1,18,Auditory,Training,1;1.17;1.4;1.68,1,0.61035,1
Human,3,NaN,1,19,Auditory,Training,1;1.17;1.4;1.68,1,0.27439,1
Human,3,NaN,1,20,Auditory,Training,1;1.17;1.4;1.68,1,0.52549,1
Human,3,1,1,1,Auditory,TR,1;1.17;1.4;1.68,1.17,1.02248,1
Human,3,1,1,2,Auditory,TR,1;1.17;1.4;1.68,1.17,1.27314,1
Human,3,1,1,3,Auditory,TR,1;1.17;1.4;1.68,1.17,1.47621,1
Human,3,1,1,4,Auditory,TR,1;1.17;1.4;1.68,1.4,1.72775,1
Human,3,1,1,5,Auditory,TR,1;1.17;1.4;1.68,1.68,1.43106,1
Human,3,1,1,6,Auditory,TR,1;1.17;1.4;1.68,1.17,1.58754,1
Human,3,1,1,7,Auditory,TR,1;1.17;1.4;1.68,1.68,2.44055,1
Human,3,1,1,8,Auditory,TR,1;1.17;1.4;1.68,1.68,1.93023,1
Human,3,1,1,9,Auditory,TR,1;1.17;1.4;1.68,1.17,0.73767,1
Human,3,1,1,10,Auditory,TR,1;1.17;1.4;1.68,1.17,1.82465,1
Human,3,1,1,11,Auditory,TR,1;1.17;1.4;1.68,1.68,1.09123,1
Human,3,1,1,12,Auditory,TR,1;1.17;1.4;1.68,1.68,1.35283,1
